miner,europe,us,asia,china,russia,unknown,Silva,regions,url
2Miners,95,4,1,,,,TRUE,asia/europe/us,https://solo-eth.2miners.com
Bw Pool,32,10,58,,,,TRUE,china,https://eth.bwpool.net
Coinotron,92,8,,,,,TRUE,europe,https://www.coinotron.com/
DwarfPool,84,12,4,,,,TRUE,europe/russia/us,
Ethermine,72,15,13,,,,TRUE,asia/europe/us,https://ethermine.org
F2Pool,23,10,67,,,,TRUE,china/europe,https://www.f2pool.com
firepool,27,13,60,,,,TRUE,china,https://firepool.com
Hiveon,85,14,1,,,,TRUE,europe/russia/us,https://hiveon.net
Huobi Mining Pool,49,25,26,,,,TRUE,china,https://www.hpt.com/pow/?lang=en
Nanopool,94,6,,,,,TRUE,asia/europe/us,https://eth.nanopool.org
PandaPool,24,11,65,,,,TRUE,europe,
Spark Pool,20,10,70,,,,TRUE,china,https://sparkpool.com
UUPool,6,4,90,,,,TRUE,china/us,https://uupool.cn/eth
xnpool.cn,32,14,54,,,,TRUE,china,https://www.xnpool.com/
zhizhu.top,24,9,67,,,,TRUE,china,https://www.spiderpool.com/
AlphaPool,,,,,,1,FALSE,unknown,
EthereumPool,,,,,,1,FALSE,unknown,
ExtremeHash,,,,,,1,FALSE,unknown,https://extremehash.io/
HashON Pool,,,,,,1,FALSE,unknown,https://hashon.me/
Huixingpool.com,,,,,,1,FALSE,unknown,
Weipool,,,,,,1,FALSE,unknown,http://weipool.org/
AntPool,,,,1,,,FALSE,china,https://antpool.com
Babel Pool,,1,,,,,FALSE,us,https://babelpool.com
BaikalMine 1,,,,,1,,FALSE,russia,https://baikalmine.com/en/solo/eth
Baypool,,,,,1,,FALSE,russia,http://eth.baypool.org
BeePool,,,,1,,,FALSE,china,https://beepool.org/coindetail/eth
BitClubPool,1,1,1,,,,FALSE,asia/europe/us,https://www.bitclubpool.com/en/
BTC.com Pool,22,5,73,,,,FALSE,china,https://pool.btc.com/
CoinMine.pl,1,1,1,,,,FALSE,asia/europe/us,https://www2.coinmine.pl/eth
CoolPool.Top,,,,,1,,FALSE,russia,https://coolpool.top/pool?coin=ethSolo&type=solo
Cruxpool,1,1,1,,,,FALSE,asia/europe/us,https://cruxpool.com/eth
DigiPools,,1,,,,,FALSE,us,https://eth.digipools.org
Easy2Mine,,,,1,,,FALSE,china,https://easy2mine.com
Eth.pp.ua,1,,,,1,,FALSE,europe/russia,
ETH.SoloPool.org,1,,,,,,FALSE,europe,https://eth.solopool.org
EthashPool,,1,,,,,FALSE,us,https://ethashpool.com/eth
EtherDig,,,,,1,,FALSE,russia,
ethfans.org,,,,1,,,FALSE,china,
Ethpool,1,1,1,,,,FALSE,asia/europe/us,https://ethpool.org
EzilPool,1,1,1,,,,FALSE,asia/europe/us,https://ezil.me
FKPool,,,,1,,,FALSE,china,http://fkpool.cn/
Flexpool.io,1,1,,,,,FALSE,europe/us,https://flexpool.io
Genesis Mining,1,,,,,,FALSE,europe,https://www.genesis-mining.com/ethereum
ICanMining.ru,,,,,1,,FALSE,russia,https://icanmining.ru?l=en&d=pool&pool=eth
K1POOL.COM,1,1,,1,,,FALSE,china/europe/us,https://k1pool.com/
KuveraPool,,1,,,,,FALSE,us,
MATPool,,,,1,,,FALSE,china,https://matpool.com/
MaxHash,1,1,1,,,,FALSE,asia/europe/us,https://ethsolo.maxhash.org
Minerall Pool,1,,,,,,FALSE,europe,https://minerall.io/ethereum
Mining DAO,1,1,,,,,FALSE,europe/us,https://miningdao.io/help
Mining Express,,1,,,,,FALSE,us,https://miningexpress.com
MiningPoolHub,1,1,1,,,,FALSE,asia/europe/us,https://ethereum.miningpoolhub.com
myminers.org,1,,,,,,FALSE,europe,https://solo-eth.myminers.org
NoobPool,,1,,,,,FALSE,us,
PandaMiner,,,,1,,,FALSE,china,https://eth.pandaminer.com/?utm_source=cypherhunter
PoolHub,,1,,,,,FALSE,us,http://poolhub.org/
Poolin,,1,,1,,,FALSE,china/us,https://www.poolin.com
Suprnova,1,1,1,,,,FALSE,asia/europe/us,https://www.suprnova.cc/
Uleypool,,,,,1,,FALSE,russia,
WaterholePool,,,,1,,,FALSE,china,
Whalesburg Pool,1,,,,,,FALSE,europe,https://whalesburg.com
ZET Technologies,1,,,,,,FALSE,europe,https://eth.zet-tech.eu
