Date,Estimated TWh per Year,Minimum TWh per Year
2017-05-20,7.751334245,2.131205325
2017-05-21,8.480167351,2.229735422
2017-05-22,8.850686805,2.275484122
2017-05-23,9.275081988,2.227112613
2017-05-24,9.823089672,2.259307283
2017-05-25,10.075085853,2.264728383
2017-05-26,10.115191785,2.265016353
2017-05-27,10.115191785,2.337235468
2017-05-28,10.169254724,2.324489949
2017-05-29,10.378545692,2.420611678
2017-05-30,10.754442785,2.575045499
2017-05-31,11.073790719,2.620293322
2017-06-01,11.300165132,2.626109022
2017-06-02,11.485772018,2.704774783
2017-06-03,11.652671046,2.679535512
2017-06-04,11.873557031,2.797396451
2017-06-05,12.069896580,2.819195431
2017-06-06,12.289380433,2.904962235
2017-06-07,12.457953728,2.979114599
2017-06-08,12.612091577,3.053939407
2017-06-09,12.812434997,3.045974463
2017-06-10,13.180327016,3.140299729
2017-06-11,13.517039498,3.252485239
2017-06-12,13.941735015,3.264021417
2017-06-13,14.331562009,3.343921371
2017-06-14,14.585686920,3.444172561
2017-06-15,14.824765343,3.499038776
2017-06-16,15.072693141,3.552171504
2017-06-17,15.336874734,3.710890995
2017-06-18,15.549821006,3.748623227
2017-06-19,15.765239072,3.787478414
2017-06-20,15.945532322,3.854525145
2017-06-21,16.054278749,3.941545662
2017-06-22,16.151485452,3.920404035
2017-06-23,16.246626860,3.952378805
2017-06-24,16.296474561,4.025810750
2017-06-25,16.296474561,4.097769129
2017-06-26,16.296474561,4.168411208
2017-06-27,16.296474561,4.230870919
2017-06-28,16.307543350,4.330508892
2017-06-29,16.326878660,4.386876372
2017-06-30,16.326878660,4.412059266
2017-07-01,16.326878660,4.428560713
2017-07-02,16.326878660,4.470532744
2017-07-03,16.326878660,4.503891803
2017-07-04,16.326878660,4.551541854
2017-07-05,16.326878660,4.603850651
2017-07-06,16.326878660,4.685427549
2017-07-07,16.326878660,4.720315752
2017-07-08,16.326878660,4.751416039
2017-07-09,16.326878660,4.806605584
2017-07-10,16.326878660,4.843731355
2017-07-11,16.326878660,4.859572080
2017-07-12,16.326878660,4.834840314
2017-07-13,16.326878660,4.840132575
2017-07-14,16.326878660,4.833023551
2017-07-15,15.206940578,4.803703789
2017-07-16,13.591894528,4.766715986
2017-07-17,16.326878660,4.749909101
2017-07-18,16.326878660,4.729485188
2017-07-19,16.326878660,4.710512880
2017-07-20,16.326878660,4.703696298
2017-07-21,16.326878660,4.707310940
2017-07-22,16.326878660,4.690474705
2017-07-23,16.326878660,4.676305646
2017-07-24,16.326878660,4.675493444
2017-07-25,16.326878660,4.730304950
2017-07-26,16.326878660,4.744228809
2017-07-27,16.326878660,4.785168590
2017-07-28,16.326878660,4.809768098
2017-07-29,16.326878660,4.830499391
2017-07-30,16.326878660,4.853878434
2017-07-31,16.326878660,4.887976881
2017-08-01,16.326878660,4.919774491
2017-08-02,16.326878660,4.889810866
2017-08-03,16.326878660,4.838633991
2017-08-04,16.326878660,4.84
2017-08-05,16.326878660,4.852393321
2017-08-06,16.326878660,4.796543686
2017-08-07,16.326878660,4.762762796
2017-08-08,16.326878660,4.754496175
2017-08-09,16.326878660,4.731194093
2017-08-10,16.326878660,4.734000009
2017-08-11,16.326878660,4.710804649
2017-08-12,16.326878660,4.693758450
2017-08-13,16.326878660,4.670178915
2017-08-14,16.326878660,4.654739542
2017-08-15,16.326878660,4.700600937
2017-08-16,16.326878660,4.726813895
2017-08-17,16.326878660,4.75
2017-08-18,16.326878660,4.788302893
2017-08-19,16.326878660,4.870241654
2017-08-20,16.326878660,4.907628335
2017-08-21,16.326878660,4.935898541
2017-08-22,16.326878660,4.975164539
2017-08-23,16.326878660,5.007083634
2017-08-24,16.326878660,5.058159453
2017-08-25,16.326878660,5.113268467
2017-08-26,16.326878660,5.112862741
2017-08-27,16.326878660,5.087907653
2017-08-28,16.326878660,5.061299626
2017-08-29,16.326878660,5.031147041
2017-08-30,16.326878660,5.013370787
2017-08-31,16.326878660,4.979932313
2017-09-01,16.326878660,4.958155193
2017-09-02,16.326878660,4.933731895
2017-09-03,16.326878660,4.894696513
2017-09-04,16.326878660,4.859700449
2017-09-05,16.326878660,4.822876903
2017-09-06,16.326878660,4.780234108
2017-09-07,16.326878660,4.731589532
2017-09-08,16.326878660,4.753140801
2017-09-09,16.326878660,4.766265094
2017-09-10,16.326878660,4.785301022
2017-09-11,16.326878660,4.821213995
2017-09-12,16.326878660,4.847920237
2017-09-13,16.326878660,4.883728150
2017-09-14,15.702551375,4.895908541
2017-09-15,16.326878660,4.914029442
2017-09-16,16.326878660,4.939625355
2017-09-17,16.326878660,4.958438618
2017-09-18,16.326878660,4.983335339
2017-09-19,16.326878660,5.014094874
2017-09-20,16.326878660,5.038793162
2017-09-21,16.326878660,5.050993608
2017-09-22,16.326878660,5.076871281
2017-09-23,16.326878660,5.070586932
2017-09-24,16.326878660,5.010829314
2017-09-25,16.326878660,4.949051344
2017-09-26,16.326878660,4.892563485
2017-09-27,16.326878660,4.825291582
2017-09-28,16.326878660,4.771811615
2017-09-29,16.081850250,4.707192199
2017-09-30,16.326878660,4.641248469
2017-10-01,16.326878660,4.573287796
2017-10-02,16.323058493,4.500030942
2017-10-03,16.056799789,4.431361601
2017-10-04,16.071647624,4.353167849
2017-10-05,16.307708746,4.289033359
2017-10-06,16.326878660,4.262728543
2017-10-07,16.326878660,4.276002340
2017-10-08,16.326878660,4.283129579
