Date,J/MH,MW
1/1/16,6.6,3.47
1/2/16,6.6,3.49
1/3/16,6.6,3.6
1/4/16,6.6,3.57
1/5/16,6.6,3.62
1/6/16,6.6,3.64
1/7/16,6.6,3.47
1/8/16,6.6,3.63
1/9/16,6.6,3.64
1/10/16,6.6,3.55
1/11/16,6.6,3.71
1/12/16,6.6,3.57
1/13/16,6.6,3.5
1/14/16,6.6,3.65
1/15/16,6.6,3.74
1/16/16,6.6,3.79
1/17/16,6.6,3.75
1/18/16,6.6,3.9
1/19/16,6.6,3.86
1/20/16,6.6,3.88
1/21/16,6.6,3.86
1/22/16,6.6,4.03
1/23/16,6.6,4.02
1/24/16,6.6,4.29
1/25/16,6.6,4.12
1/26/16,6.6,4.44
1/27/16,6.6,4.38
1/28/16,6.6,4.3
1/29/16,6.6,4.42
1/30/16,6.6,4.41
1/31/16,6.6,4.27
2/1/16,6.6,4.48
2/2/16,6.6,4.28
2/3/16,6.6,4.6
2/4/16,6.6,4.58
2/5/16,6.6,4.61
2/6/16,6.6,4.45
2/7/16,6.6,4.58
2/8/16,6.6,4.77
2/9/16,6.6,4.62
2/10/16,6.6,4.74
2/11/16,6.6,4.93
2/12/16,6.6,5.06
2/13/16,6.6,4.76
2/14/16,6.6,5.12
2/15/16,6.6,5.24
2/16/16,6.6,5.21
2/17/16,6.6,5.08
2/18/16,6.6,4.96
2/19/16,6.6,5.25
2/20/16,6.6,5.28
2/21/16,6.6,5.34
2/22/16,6.6,5.57
2/23/16,6.6,5.61
2/24/16,6.6,5.59
2/25/16,6.6,5.65
2/26/16,6.6,5.82
2/27/16,6.6,5.92
2/28/16,6.6,6.05
2/29/16,6.6,5.85
3/1/16,6.6,5.94
3/2/16,6.6,6.2
3/3/16,6.6,6.32
3/4/16,6.6,6.49
3/5/16,6.6,6.8
3/6/16,6.6,6.84
3/7/16,6.6,6.91
3/8/16,6.6,7
3/9/16,6.6,7.13
3/10/16,6.6,7.42
3/11/16,6.6,7.61
3/12/16,6.6,8.02
3/13/16,6.6,8.52
3/14/16,6.6,8.23
3/15/16,6.6,8.55
3/16/16,6.6,8.73
3/17/16,6.6,9.04
3/18/16,6.6,8.94
3/19/16,6.6,9.37
3/20/16,6.6,9.57
3/21/16,6.6,9.44
3/22/16,6.6,9.68
3/23/16,6.6,9.17
3/24/16,6.6,9.93
3/25/16,6.6,10.39
3/26/16,6.6,10.69
3/27/16,6.6,10.84
3/28/16,6.6,10.62
3/29/16,6.6,11.03
3/30/16,6.6,11.3
3/31/16,6.6,11.68
4/1/16,6.6,11.81
4/2/16,6.6,11.4
4/3/16,6.6,12.05
4/4/16,6.6,12.6
4/5/16,6.6,12.66
4/6/16,6.6,12.5
4/7/16,6.6,11.96
4/8/16,6.6,13.02
4/9/16,6.6,12.93
4/10/16,6.6,13.44
4/11/16,6.6,13.01
4/12/16,6.6,12.74
4/13/16,6.6,13.38
4/14/16,6.6,13.47
4/15/16,6.6,14.01
4/16/16,6.6,14.2
4/17/16,6.6,13.86
4/18/16,6.6,14.69
4/19/16,6.6,14.68
4/20/16,6.6,14.98
4/21/16,6.6,15.11
4/22/16,6.6,14.64
4/23/16,6.6,15.28
4/24/16,6.6,15.06
4/25/16,6.6,15.83
4/26/16,6.6,15.36
4/27/16,6.6,15.47
4/28/16,6.6,15.83
4/29/16,6.6,16.14
4/30/16,6.6,16.77
5/1/16,6.6,16.63
5/2/16,6.6,16.07
5/3/16,6.6,16.97
5/4/16,6.6,16.77
5/5/16,6.6,16.82
5/6/16,6.6,16.89
5/7/16,6.6,16.81
5/8/16,6.6,17.14
5/9/16,6.6,17.29
5/10/16,6.6,17.68
5/11/16,6.6,17.01
5/12/16,6.6,17.43
5/13/16,6.6,18.57
5/14/16,6.6,18.27
5/15/16,6.6,18.4
5/16/16,6.6,18.36
5/17/16,6.6,18.33
5/18/16,6.6,19.09
5/19/16,6.6,19.53
5/20/16,6.6,19.93
5/21/16,6.6,20.08
5/22/16,6.6,20.03
5/23/16,6.6,20.12
5/24/16,6.6,20.44
5/25/16,6.6,20.63
5/26/16,6.6,20.86
5/27/16,6.6,21.47
5/28/16,6.6,20.96
5/29/16,6.6,21.62
5/30/16,6.6,21.56
5/31/16,6.6,21.29
6/1/16,6.6,20.92
6/2/16,6.6,21.39
6/3/16,6.6,22.53
6/4/16,6.6,22.42
6/5/16,6.6,21.95
6/6/16,6.6,22.72
6/7/16,6.6,22.87
6/8/16,6.6,22.96
6/9/16,6.6,24.02
6/10/16,6.6,22.6
6/11/16,6.6,23.46
6/12/16,6.6,23.64
6/13/16,6.6,24.52
6/14/16,6.6,24.75
6/15/16,6.6,24.54
6/16/16,6.6,24.53
6/17/16,6.6,25.5
6/18/16,6.6,24.84
6/19/16,6.6,25.44
6/20/16,6.6,25.17
6/21/16,6.6,24.78
6/22/16,6.6,25.84
6/23/16,6.6,26.32
6/24/16,6.6,26.36
6/25/16,6.6,26.21
6/26/16,6.6,27
6/27/16,6.6,27.49
6/28/16,6.6,27.83
6/29/16,6.6,27.16
6/30/16,6.6,27.31
7/1/16,6.6,27.96
7/2/16,6.6,28.03
7/3/16,6.6,28.67
7/4/16,6.6,28.59
7/5/16,6.6,28.61
7/6/16,6.6,28.62
7/7/16,6.6,28.52
7/8/16,6.6,28.68
7/9/16,6.6,28.75
7/10/16,6.6,28.94
7/11/16,6.6,29.4
7/12/16,6.6,29.39
7/13/16,6.6,29.81
7/14/16,6.6,29.52
7/15/16,6.6,29.05
7/16/16,6.6,29.22
7/17/16,6.6,29.34
7/18/16,6.6,30.16
7/19/16,6.6,29.8
7/20/16,6.6,29.21
7/21/16,6.6,30.38
7/22/16,6.6,29.27
7/23/16,6.6,30.49
7/24/16,6.6,29.69
7/25/16,6.6,28.73
7/26/16,6.6,27.37
7/27/16,6.6,26.24
7/28/16,6.6,27.92
7/29/16,6.6,27.31
7/30/16,6.6,26.78
7/31/16,6.6,27.19
8/1/16,6.6,26.62
8/2/16,6.6,24.66
8/3/16,6.6,23.85
8/4/16,6.6,25.98
8/5/16,6.6,26.61
8/6/16,6.6,25.9
8/7/16,6.6,26.78
8/8/16,6.6,27.3
