Date,lower,best,upper
2015-07-30,0.000053,0.000093,0.000208
2015-07-31,0.000235,0.000413,0.000928
2015-08-01,0.000264,0.000463,0.001041
2015-08-02,0.000310,0.000544,0.001222
2015-08-03,0.000341,0.000597,0.001340
2015-08-04,0.000375,0.000656,0.001472
2015-08-05,0.000393,0.000688,0.001544
2015-08-06,0.000403,0.000705,0.001581
2015-08-07,0.000435,0.000760,0.001703
2015-08-08,0.000478,0.000836,0.001872
2015-08-09,0.000500,0.000874,0.001955
2015-08-10,0.000549,0.000960,0.002146
2015-08-11,0.000613,0.001072,0.002395
2015-08-12,0.000650,0.001137,0.002538
2015-08-13,0.000712,0.001244,0.002776
2015-08-14,0.000894,0.001562,0.003483
2015-08-15,0.001034,0.001806,0.004024
2015-08-16,0.001053,0.001838,0.004094
2015-08-17,0.001175,0.002051,0.004564
2015-08-18,0.001227,0.002141,0.004762
2015-08-19,0.001288,0.002247,0.004994
2015-08-20,0.001003,0.001750,0.003888
2015-08-21,0.001256,0.002190,0.004862
2015-08-22,0.001415,0.002468,0.005474
2015-08-23,0.001435,0.002502,0.005547
2015-08-24,0.001508,0.002628,0.005822
2015-08-25,0.001470,0.002562,0.005673
2015-08-26,0.001550,0.002701,0.005977
2015-08-27,0.001541,0.002683,0.005934
2015-08-28,0.001604,0.002792,0.006171
2015-08-29,0.001586,0.002761,0.006098
2015-08-30,0.001534,0.002670,0.005894
2015-08-31,0.001620,0.002819,0.006218
2015-09-01,0.001637,0.002849,0.006280
2015-09-02,0.001603,0.002788,0.006142
2015-09-03,0.001527,0.002656,0.005848
2015-09-04,0.001575,0.002738,0.006026
2015-09-05,0.001686,0.002931,0.006445
2015-09-06,0.001746,0.003034,0.006669
2015-09-07,0.001707,0.002965,0.006513
2015-09-08,0.001665,0.002892,0.006348
2015-09-09,0.001733,0.003010,0.006604
2015-09-10,0.001759,0.003054,0.006696
2015-09-11,0.001891,0.003282,0.007192
2015-09-12,0.001902,0.003300,0.007227
2015-09-13,0.001939,0.003364,0.007361
2015-09-14,0.001790,0.003104,0.006790
2015-09-15,0.001736,0.003010,0.006580
2015-09-16,0.001717,0.002978,0.006506
2015-09-17,0.001619,0.002807,0.006129
2015-09-18,0.001547,0.002682,0.005852
2015-09-19,0.001597,0.002768,0.006036
2015-09-20,0.001825,0.003162,0.006891
2015-09-21,0.001830,0.003169,0.006903
2015-09-22,0.001829,0.003168,0.006896
2015-09-23,0.001957,0.003388,0.007371
2015-09-24,0.001944,0.003365,0.007317
2015-09-25,0.001976,0.003419,0.007430
2015-09-26,0.001962,0.003395,0.007372
2015-09-27,0.001898,0.003283,0.007126
2015-09-28,0.001741,0.003012,0.006533
2015-09-29,0.001544,0.002670,0.005789
2015-09-30,0.001479,0.002558,0.005541
2015-10-01,0.001623,0.002804,0.006073
2015-10-02,0.001681,0.002904,0.006285
2015-10-03,0.001735,0.002997,0.006483
2015-10-04,0.001646,0.002844,0.006147
2015-10-05,0.001710,0.002952,0.006378
2015-10-06,0.001633,0.002819,0.006087
2015-10-07,0.001626,0.002806,0.006055
2015-10-08,0.001661,0.002866,0.006182
2015-10-09,0.001615,0.002787,0.006006
2015-10-10,0.001595,0.002752,0.005928
2015-10-11,0.001688,0.002912,0.006269
2015-10-12,0.001707,0.002944,0.006335
2015-10-13,0.001758,0.003031,0.006517
2015-10-14,0.001741,0.003000,0.006447
2015-10-15,0.001646,0.002836,0.006092
2015-10-16,0.001531,0.002637,0.005662
2015-10-17,0.001645,0.002833,0.006079
2015-10-18,0.001597,0.002751,0.005899
2015-10-19,0.001590,0.002737,0.005867
2015-10-20,0.001583,0.002724,0.005835
2015-10-21,0.001580,0.002719,0.005821
2015-10-22,0.001501,0.002582,0.005525
2015-10-23,0.001674,0.002879,0.006156
2015-10-24,0.001762,0.003030,0.006475
2015-10-25,0.001825,0.003138,0.006703
2015-10-26,0.001753,0.003014,0.006434
2015-10-27,0.001860,0.003196,0.006820
2015-10-28,0.001865,0.003205,0.006834
2015-10-29,0.002005,0.003444,0.007341
2015-10-30,0.002126,0.003651,0.007778
2015-10-31,0.002246,0.003856,0.008210
2015-11-01,0.002280,0.003915,0.008331
2015-11-02,0.002164,0.003715,0.007899
2015-11-03,0.002101,0.003605,0.007663
2015-11-04,0.002223,0.003815,0.008104
2015-11-05,0.002139,0.003669,0.007790
2015-11-06,0.002147,0.003682,0.007813
2015-11-07,0.002088,0.003581,0.007593
2015-11-08,0.002177,0.003733,0.007913
2015-11-09,0.002166,0.003713,0.007867
2015-11-10,0.002204,0.003777,0.007997
2015-11-11,0.002218,0.003800,0.008042
2015-11-12,0.002254,0.003862,0.008169
2015-11-13,0.002301,0.003940,0.008329
2015-11-14,0.002328,0.003987,0.008423
2015-11-15,0.002394,0.004099,0.008654
2015-11-16,0.002354,0.004029,0.008503
2015-11-17,0.002329,0.003986,0.008407
2015-11-18,0.002392,0.004093,0.008629
2015-11-19,0.002400,0.004106,0.008652
2015-11-20,0.002053,0.003511,0.007395
2015-11-21,0.002083,0.003561,0.007496
2015-11-22,0.002083,0.003561,0.007491
2015-11-23,0.002115,0.003615,0.007602
2015-11-24,0.002108,0.003603,0.007571
2015-11-25,0.002036,0.003479,0.007307
2015-11-26,0.002038,0.003482,0.007309
2015-11-27,0.002133,0.003643,0.007644
2015-11-28,0.002156,0.003682,0.007721
2015-11-29,0.002163,0.003693,0.007742
2015-11-30,0.002178,0.003717,0.007786
2015-12-01,0.002221,0.003791,0.007937
2015-12-02,0.002080,0.003549,0.007427
2015-12-03,0.002176,0.003712,0.007764
2015-12-04,0.002127,0.003628,0.007584
2015-12-05,0.002207,0.003763,0.007863
2015-12-06,0.002101,0.003582,0.007482
2015-12-07,0.002083,0.003551,0.007412
2015-12-08,0.002022,0.003445,0.007187
2015-12-09,0.002127,0.003624,0.007557
2015-12-10,0.002171,0.003699,0.007708
2015-12-11,0.002212,0.003768,0.007849
2015-12-12,0.002226,0.003790,0.007891
2015-12-13,0.002392,0.004072,0.008474
2015-12-14,0.002324,0.003956,0.008229
2015-12-15,0.002402,0.004088,0.008498
2015-12-16,0.002291,0.003898,0.008099
2015-12-17,0.002375,0.004040,0.008391
2015-12-18,0.002367,0.004025,0.008355
2015-12-19,0.002351,0.003998,0.008295
2015-12-20,0.002283,0.003881,0.008048
2015-12-21,0.002275,0.003866,0.008013
2015-12-22,0.002417,0.004107,0.008509
2015-12-23,0.002365,0.004018,0.008319
2015-12-24,0.002306,0.003917,0.008107
2015-12-25,0.002304,0.003912,0.008093
2015-12-26,0.002261,0.003839,0.007936
2015-12-27,0.002328,0.003952,0.008167
2015-12-28,0.002326,0.003948,0.008153
2015-12-29,0.002312,0.003924,0.008101
2015-12-30,0.002279,0.003866,0.007978
2015-12-31,0.002312,0.003923,0.008090
2016-01-01,0.002241,0.003801,0.007835
2016-01-02,0.002248,0.003812,0.007854
2016-01-03,0.002318,0.003930,0.008094
2016-01-04,0.002302,0.003903,0.008033
2016-01-05,0.002333,0.003954,0.008135
2016-01-06,0.002347,0.003976,0.008177
2016-01-07,0.002236,0.003787,0.007784
2016-01-08,0.002338,0.003960,0.008136
2016-01-09,0.002341,0.003964,0.008140
2016-01-10,0.002282,0.003864,0.007930
2016-01-11,0.002381,0.004031,0.008268
2016-01-12,0.002293,0.003881,0.007958
2016-01-13,0.002248,0.003804,0.007795
2016-01-14,0.002345,0.003967,0.008126
2016-01-15,0.002400,0.004060,0.008313
2016-01-16,0.002429,0.004107,0.008405
2016-01-17,0.002403,0.004063,0.008312
2016-01-18,0.002500,0.004226,0.008640
2016-01-19,0.002471,0.004177,0.008535
2016-01-20,0.002484,0.004197,0.008573
2016-01-21,0.002466,0.004166,0.008505
2016-01-22,0.002576,0.004352,0.008881
2016-01-23,0.002568,0.004337,0.008845
2016-01-24,0.002742,0.004631,0.009441
2016-01-25,0.002633,0.004445,0.009057
2016-01-26,0.002834,0.004784,0.009743
2016-01-27,0.002794,0.004716,0.009600
2016-01-28,0.002744,0.004631,0.009423
2016-01-29,0.002819,0.004755,0.009671
2016-01-30,0.002812,0.004743,0.009642
2016-01-31,0.002718,0.004583,0.009313
2016-02-01,0.002853,0.004810,0.009770
2016-02-02,0.002723,0.004590,0.009318
2016-02-03,0.002925,0.004930,0.010003
2016-02-04,0.002912,0.004907,0.009953
2016-02-05,0.002929,0.004936,0.010006
2016-02-06,0.002828,0.004763,0.009652
2016-02-07,0.002905,0.004892,0.009908
2016-02-08,0.003029,0.005100,0.010324
2016-02-09,0.002928,0.004929,0.009974
2016-02-10,0.003004,0.005057,0.010228
2016-02-11,0.003126,0.005261,0.010636
