Date,lower,best,upper
2015-07-30,0.000463,0.000811,0.001827
2015-07-31,0.002064,0.003618,0.008141
2015-08-01,0.002317,0.004060,0.009129
2015-08-02,0.002722,0.004768,0.010716
2015-08-03,0.002987,0.005232,0.011749
2015-08-04,0.003285,0.005751,0.012907
2015-08-05,0.003448,0.006036,0.013537
2015-08-06,0.003534,0.006184,0.013860
2015-08-07,0.003810,0.006667,0.014933
2015-08-08,0.004192,0.007333,0.016415
2015-08-09,0.004382,0.007663,0.017142
2015-08-10,0.004815,0.008419,0.018821
2015-08-11,0.005378,0.009401,0.021004
2015-08-12,0.005704,0.009968,0.022256
2015-08-13,0.006244,0.010909,0.024342
2015-08-14,0.007841,0.013696,0.030541
2015-08-15,0.009068,0.015836,0.035290
2015-08-16,0.009232,0.016119,0.035898
2015-08-17,0.010303,0.017984,0.040025
2015-08-18,0.010757,0.018774,0.041756
2015-08-19,0.010535,0.018381,0.040856
2015-08-20,0.007849,0.013691,0.030413
2015-08-21,0.008891,0.015506,0.034422
2015-08-22,0.009293,0.016203,0.035947
2015-08-23,0.009619,0.016768,0.037178
2015-08-24,0.010000,0.017428,0.038615
2015-08-25,0.009135,0.015917,0.035245
2015-08-26,0.009411,0.016394,0.036279
2015-08-27,0.009504,0.016553,0.036608
2015-08-28,0.009532,0.016598,0.036686
2015-08-29,0.009489,0.016520,0.036489
2015-08-30,0.009072,0.015790,0.034856
2015-08-31,0.009866,0.017167,0.037872
2015-09-01,0.010420,0.018127,0.039965
2015-09-02,0.010455,0.018185,0.040068
2015-09-03,0.009883,0.017186,0.037844
2015-09-04,0.010423,0.018121,0.039879
2015-09-05,0.011145,0.019371,0.042603
2015-09-06,0.011659,0.020262,0.044534
2015-09-07,0.011320,0.019668,0.043202
2015-09-08,0.009825,0.017066,0.037464
2015-09-09,0.010352,0.017978,0.039443
2015-09-10,0.010563,0.018341,0.040214
2015-09-11,0.011375,0.019745,0.043267
2015-09-12,0.011381,0.019752,0.043255
2015-09-13,0.011625,0.020170,0.044144
2015-09-14,0.010882,0.018877,0.041289
2015-09-15,0.010535,0.018271,0.039940
2015-09-16,0.010288,0.017838,0.038970
2015-09-17,0.009729,0.016867,0.036826
2015-09-18,0.009299,0.016117,0.035168
2015-09-19,0.009661,0.016741,0.036508
2015-09-20,0.011231,0.019456,0.042404
2015-09-21,0.011197,0.019393,0.042242
2015-09-22,0.011344,0.019644,0.042762
2015-09-23,0.012072,0.020900,0.045470
2015-09-24,0.012165,0.021057,0.045784
2015-09-25,0.012349,0.021370,0.046437
2015-09-26,0.012155,0.021030,0.045672
2015-09-27,0.011704,0.020246,0.043943
2015-09-28,0.010760,0.018609,0.040367
2015-09-29,0.009966,0.017231,0.037355
2015-09-30,0.009541,0.016494,0.035737
2015-10-01,0.010546,0.018228,0.039470
2015-10-02,0.010944,0.018910,0.040923
2015-10-03,0.011306,0.019532,0.042246
2015-10-04,0.010786,0.018630,0.040271
2015-10-05,0.011034,0.019053,0.041162
2015-10-06,0.010518,0.018158,0.039206
2015-10-07,0.010642,0.018369,0.039638
2015-10-08,0.010854,0.018731,0.040397
2015-10-09,0.010571,0.018239,0.039311
2015-10-10,0.010394,0.017929,0.038622
2015-10-11,0.011011,0.018990,0.040884
2015-10-12,0.011145,0.019217,0.041348
2015-10-13,0.011371,0.019601,0.042152
2015-10-14,0.011285,0.019450,0.041803
2015-10-15,0.010700,0.018437,0.039604
2015-10-16,0.009930,0.017108,0.036728
