Date,Europe,USA,Asia,China,Unknown
2015-07-30,0,0,4,0,9326
2015-07-31,0,0,1,0,6007
2015-08-01,0,0,0,0,5242
2015-08-02,0,0,29,0,5400
2015-08-03,24,24,41,0,5163
2015-08-04,73,73,73,0,5029
2015-08-05,94,94,95,0,4989
2015-08-06,119,119,120,0,4735
2015-08-07,122,122,122,0,4917
2015-08-08,11,11,12,0,5260
2015-08-09,0,0,17,0,5044
2015-08-10,31,31,51,0,5110
2015-08-11,290,290,292,0,4481
2015-08-12,312,312,312,0,4125
2015-08-13,298,298,298,0,4415
2015-08-14,610,610,610,0,4064
2015-08-15,554,554,554,0,3427
2015-08-16,676,676,676,0,3268
2015-08-17,688,686,686,0,3280
2015-08-18,719,686,684,0,2909
2015-08-19,1000,714,695,0,2769
2015-08-20,1039,585,554,0,1873
2015-08-21,1470,566,504,0,2568
2015-08-22,1617,468,390,1,2752
2015-08-23,1260,465,410,0,2923
2015-08-24,1386,481,420,0,2762
2015-08-25,1661,453,371,0,2715
2015-08-26,1742,401,312,0,2415
2015-08-27,1872,430,336,0,2130
2015-08-28,1817,355,260,0,2124
2015-08-29,1773,334,240,0,1767
2015-08-30,1845,321,221,0,1864
2015-08-31,1844,362,264,0,1562
2015-09-01,1740,413,324,0,1434
2015-09-02,1434,380,311,0,1288
2015-09-03,1627,421,341,0,1258
2015-09-04,2014,558,462,0,1597
2015-09-05,2187,606,501,0,1667
2015-09-06,2116,613,514,0,1689
2015-09-07,2059,580,482,0,1696
2015-09-08,2439,421,285,0,1856
2015-09-09,2308,429,302,0,1967
2015-09-10,2398,436,303,0,1973
2015-09-11,2439,442,307,0,1871
2015-09-12,2427,440,303,0,1862
2015-09-13,2407,433,298,0,1734
2015-09-14,2393,456,324,0,1651
2015-09-15,2383,447,315,0,1753
2015-09-16,2391,423,288,0,1874
2015-09-17,2300,408,279,0,1827
2015-09-18,2388,409,271,0,1847
2015-09-19,2488,451,311,0,1987
2015-09-20,2577,509,366,0,1717
2015-09-21,2563,492,347,0,1604
2015-09-22,2613,541,395,0,1606
2015-09-23,2535,512,368,0,1675
2015-09-24,2428,512,372,0,1702
2015-09-25,2493,525,383,0,1730
2015-09-26,2441,496,355,0,1579
2015-09-27,2341,470,333,0,1638
2015-09-28,2263,457,326,0,1678
2015-09-29,2042,496,384,0,1731
2015-09-30,2154,529,411,0,1777
2015-10-01,2158,546,428,0,2057
2015-10-02,2187,562,444,0,1983
2015-10-03,2038,527,416,0,1968
2015-10-04,2096,550,439,0,1806
2015-10-05,2178,537,418,0,1923
2015-10-06,2122,520,401,0,1745
2015-10-07,2231,581,458,0,1800
2015-10-08,2277,571,442,0,1831
2015-10-09,2079,531,413,0,1762
2015-10-10,2205,558,431,0,1856
2015-10-11,2236,556,427,0,1829
2015-10-12,2363,570,434,0,1868
2015-10-13,2255,557,424,0,1808
2015-10-14,2102,520,396,0,1829
2015-10-15,2111,524,400,0,1796
2015-10-16,2156,521,392,0,2063
2015-10-17,2088,473,347,0,2040
2015-10-18,2119,480,349,0,1983
2015-10-19,2125,472,338,0,2027
2015-10-20,2195,485,347,0,2012
2015-10-21,2118,487,355,0,1903
2015-10-22,2254,512,372,0,1899
2015-10-23,2380,546,399,0,1896
2015-10-24,2348,511,364,0,1957
2015-10-25,2360,525,379,0,1806
2015-10-26,2441,478,320,0,1725
2015-10-27,2440,525,370,0,1735
2015-10-28,2436,505,348,0,1774
2015-10-29,2541,545,385,0,1742
2015-10-30,2561,532,372,0,1736
2015-10-31,2645,487,317,0,1680
2015-11-01,2782,507,325,0,1748
2015-11-02,2597,472,302,0,1548
2015-11-03,2720,493,313,0,1682
2015-11-04,2616,497,329,0,1570
2015-11-05,2821,493,306,0,1589
2015-11-06,2653,478,303,0,1591
2015-11-07,2771,458,272,0,1483
2015-11-08,2710,445,261,0,1544
2015-11-09,2789,425,236,0,1603
2015-11-10,2855,446,249,0,1510
2015-11-11,2865,428,231,0,1505
2015-11-12,2969,462,258,0,1454
2015-11-13,2912,442,241,0,1482
2015-11-14,2983,455,252,0,1515
2015-11-15,3024,438,231,0,1356
2015-11-16,3031,446,238,0,1374
2015-11-17,3122,433,217,0,1390
2015-11-18,3067,460,249,0,1331
2015-11-19,2798,434,242,0,1355
2015-11-20,2673,444,258,0,1478
2015-11-21,2775,446,252,0,1601
2015-11-22,2772,468,277,0,1560
2015-11-23,2858,455,256,0,1483
2015-11-24,2782,440,249,0,1454
2015-11-25,2883,465,267,0,1435
2015-11-26,2925,462,259,0,1345
2015-11-27,2931,459,254,0,1396
2015-11-28,2872,457,259,0,1441
2015-11-29,2944,448,242,0,1435
2015-11-30,2963,466,261,0,1400
2015-12-01,2895,455,251,0,1463
2015-12-02,2876,453,251,0,1386
2015-12-03,2974,482,276,0,1326
2015-12-04,3011,457,245,0,1319
2015-12-05,2912,429,223,0,1320
2015-12-06,2968,398,185,0,1381
2015-12-07,3056,434,215,0,1370
