hardware,hashrate,power
Linzhi PhoenixEthash,2600,3000 
Innosilicon A11June 2021Ethash,2100,2300 
Innosilicon A10 Pro 6GBEthash,720,1300 
Innosilicon A10 ProEthash,500,950 
Innosilicon A10Ethash,480,750 
Antminer E3Ethash,190,760 
Nvidia RTX 3090,121.16,290 
AMD Radeon VII,104.6,195 
Nvidia RTX 3080,97.88,224 
Nvidia CMP 90HX,86,320 
Nvidia RTX 3070,61.79,117 
Nvidia RTX 3060Ti,60.21,120 
AMD RX 6900 XT,60.38,148 
AMD RX 6800 XT,59.39,153 
Nvidia RTX 2080Ti,59.21,150 
AMD RX 6800,58.7,167 
AMD RX 5700 XT,54.28,91 
AMD RX 5700,50.99,117 
AMD RX Vega 64,49.25,170 
AMD RX Vega 56,47.52,165 
Nvidia Titan XP,49.02,252 
Nvidia Tesla P100-PCIE-16GB,44.85,138 
Nvidia GTX 1080Ti,45.68,210 
Nvidia RTX 2080 Super,44.54,192 
Nvidia P102-100,44.55,220 
Nvidia CMP 50HX,45,250 
AMD RX 5600 XT,37.86,95 
Nvidia RTX 2060 Super,37.18,122 
Nvidia RTX 2080,37.22,138 
Nvidia RTX 2070,36.76,124 
Nvidia RTX 2070 Super,37.12,148 
Nvidia GTX 1080,36.16,128 
Nvidia CMP 40HX,36,185 
AMD RX 580,32.74,84 
AMD RX 470,31.57,70 
Nvidia P104-100,32.51,122 
AMD RX 570,31.31,80 
AMD Vega Frontier Edition,31.9,132 
Nvidia RTX 2060,27.56,77 
Nvidia GTX 1070Ti,28.72,129 
AMD RX 5500 XT,25.8,55 
Nvidia GTX 1070,26.84,135 
Nvidia GTX 1660 Super,26.49,121 
AMD RX 480,25.23,71 
AMD RX 590,27.31,163 
Nvidia GTX 1660Ti,25.93,109 
Nvidia CMP 30HX,26,125 
Nvidia RTX 3060,25,100 
Nvidia GTX 1660,21.46,71 
Nvidia P106-100,21.3,106 
Nvidia GTX 1060,20.06,101 
Nvidia GTX 1650,13.2,54 
AMD RX 460,11.66,41 
AMD RX 560,10.27,45 
Nvidia GTX 1050,12.53,
Nvidia GTX 1050Ti,15.98,
AMD RX 550,11.97,
Nvidia Titan V,74.37,
Nvidia GTX 1650 Super,0,52 
